,elevation,latitude,longitude,network,station
131,1739.0,34.88848,-119.81362,CI,MPP
132,1000.0,35.42522,-116.88957,CI,MRS
133,938.0,34.03852,-116.64795,CI,MSC
134,466.0,33.80801,-116.96789,CI,MSJ
135,785.0,33.42654,-117.37927,CI,MTA
136,1092.0,33.19915,-116.64727,CI,MTG
137,1540.5,34.2688,-118.2374,CI,MTL
138,1588.0,35.48434,-115.5532,CI,MTP
139,562.0,33.59999,-117.19543,CI,MUR
140,1725.0,34.22362,-118.05832,CI,MWC
141,590.0,34.78035,-116.55798,CI,NBS
142,1312.0,34.23883,-117.65853,CI,NCH
143,170.0,34.8249,-114.59941,CI,NEE
144,271.0,34.76759,-114.61881,CI,NEE2
145,859.0,34.77539,-118.50099,CI,NEN
146,1285.0,34.187906,-118.115167,CI,NGBR
147,219.0,34.53412,-120.17737,CI,NJQ
148,194.0,34.22869,-118.55829,CI,NOT
149,239.0,34.136773,-118.128333,CI,NQ088
150,-16.0,33.5561,-115.9465,CI,NSS
151,17.0,33.55553,-115.94586,CI,NSS2
152,95.8,33.733138,-117.751087,CI,NWH
153,832.0,34.36363,-118.78439,CI,OAK
154,1089.0,34.34361,-118.61442,CI,OAT
155,155.1,32.74755,-116.01931,CI,OCP
156,64.0,33.78816,-117.844,CI,OGC
157,124.0,34.39697,-119.29874,CI,OKV
158,162.0,33.94539,-117.92372,CI,OLI
159,159.0,32.60771,-116.93019,CI,OLP
160,718.0,34.6145,-118.7235,CI,OSI
161,552.0,33.38905,-117.03182,CI,PALA
162,314.0,34.14844,-118.17117,CI,PAS
163,257.0,34.14844,-118.17113,CI,PASA
164,341.0,34.17141,-118.18523,CI,PASC
165,328.0,34.44199,-118.58215,CI,PDE
166,144.0,34.30336,-114.14152,CI,PDM
167,45.0,33.96273,-118.43702,CI,PDR
168,445.0,34.1207,-117.63808,CI,PDU
169,166.0,33.92397,-117.61713,CI,PDW
170,777.0,34.16689,-117.87009,CI,PEM
171,468.0,33.86164,-117.20529,CI,PER
172,1288.0,33.61164,-116.45858,CI,PFO
173,0.0,33.4914,-117.0635,CI,PGA
174,355.0,35.40773,-120.54556,CI,PHL
175,1673.0,34.89556,-119.82084,CI,PKM
176,130.0,33.82436,-116.51195,CI,PLC
177,1050.0,34.96857,-119.06899,CI,PLE
178,1691.0,33.35361,-116.86265,CI,PLM
179,1199.0,33.7953,-117.60906,CI,PLS
180,296.0,33.64785,-116.37769,CI,PMD
181,1101.0,33.97738,-115.80161,CI,PNM
182,974.0,33.68699,-116.92402,CI,POB
183,999.0,33.68708,-116.92382,CI,POB2
184,144.0,33.82393,-116.55026,CI,PSD
185,305.0,34.09181,-117.80709,CI,PSR
186,7.0,34.00443,-118.80686,CI,PTD
187,747.0,34.69115,-117.96919,CI,PUT
188,398.9,34.187906,-118.115167,CI,Q0000
189,161.0,34.149406,-118.030375,CI,Q0001
190,76.3,34.072488,-118.399114,CI,Q0002
191,317.0,34.215874,-118.828572,CI,Q0003
192,92.0,32.733145,-117.133048,CI,Q0004
193,22.0,33.527951,-117.768082,CI,Q0005
194,233.0,33.133738,-117.110842,CI,Q0006
195,462.0,33.03653,-116.859271,CI,Q0007
196,227.0,33.384931,-117.24667,CI,Q0008
197,101.0,33.604579,-117.704768,CI,Q0009
198,42.0,33.445568,-117.63833,CI,Q0010
199,17.0,33.840247,-118.015366,CI,Q0011
200,331.0,33.459709,-117.098129,CI,Q0012
201,857.0,34.539514,-118.060347,CI,Q0013
202,342.0,34.277041,-118.396789,CI,Q0014
203,376.0,34.374681,-118.548834,CI,Q0015
204,321.0,33.843169,-117.564989,CI,Q0016
205,9.0,32.573037,-117.116803,CI,Q0017
206,4.0,33.696149,-117.952791,CI,Q0018
207,22.0,32.683732,-117.096512,CI,Q0019
208,852.0,33.960243,-116.953328,CI,Q0020
209,1.4,33.722904,-118.053735,CI,Q0021
210,358.0,33.770167,-117.501187,CI,Q0022
211,179.0,33.954833,-117.576062,CI,Q0023
212,1017.0,34.767662,-118.736685,CI,Q0024
213,1118.0,33.092083,-116.646993,CI,Q0025
214,381.0,33.643052,-117.569428,CI,Q0026
215,-3.0,32.766226,-115.621085,CI,Q0027
216,458.0,33.831306,-117.181463,CI,Q0028
217,96.0,33.726509,-117.747889,CI,Q0029
218,266.0,33.979794,-117.753906,CI,Q0030
219,134.7,34.395342,-118.911625,CI,Q0031
220,72.0,33.280678,-117.291139,CI,Q0032
221,501.0,34.09323,-118.866231,CI,Q0033
222,332.0,33.690211,-117.655247,CI,Q0034
223,871.0,34.46575,-118.204037,CI,Q0035
224,1014.0,34.458752,-117.382605,CI,Q0036
225,169.0,33.030233,-117.091311,CI,Q0037
226,425.0,33.730576,-117.427604,CI,Q0038
227,7.0,32.686927,-117.176117,CI,Q0039
228,502.0,33.532324,-117.00832,CI,Q0040
229,568.0,34.17204,-117.427615,CI,Q0041
230,172.0,33.925955,-117.658232,CI,Q0042
231,315.0,34.101623,-118.659637,CI,Q0043
232,-32.0,32.985975,-115.546873,CI,Q0044
233,540.0,34.439078,-118.407758,CI,Q0045
234,545.1,34.145096,-117.65051,CI,Q0046
235,88.0,33.944361,-117.988066,CI,Q0047
236,76.0,33.772338,-117.80335,CI,Q0048
237,1659.0,34.197059,-117.125648,CI,Q0049
238,209.0,34.191423,-118.958531,CI,Q0050
239,799.0,34.621526,-118.157117,CI,Q0051
240,102.0,32.920419,-117.21244,CI,Q0052
241,1148.0,32.82289,-116.521628,CI,Q0053
242,446.0,33.240596,-117.010486,CI,Q0054
243,102.0,33.282228,-117.180949,CI,Q0055
244,739.0,34.839289,-117.149857,CI,Q0056
245,219.0,34.187561,-118.477132,CI,Q0057
246,449.0,33.062809,-116.854106,CI,Q0058
247,953.0,32.734145,-116.491675,CI,Q0059
248,629.0,32.746844,-116.761129,CI,Q0060
249,831.0,34.591908,-117.812984,CI,Q0061
250,672.0,32.686263,-116.753498,CI,Q0062
251,123.0,34.080232,-118.268213,CI,Q0063
252,493.0,34.074789,-118.942449,CI,Q0064
253,1192.0,35.141904,-118.484784,CI,Q0065
254,185.0,33.898729,-117.776622,CI,Q0066
255,91.0,33.947501,-117.99124,CI,Q0067
256,729.0,35.111675,-117.976655,CI,Q0068
257,314.0,34.052226,-118.778937,CI,Q0069
258,1057.0,33.504861,-116.808816,CI,Q0070
259,602.0,33.534644,-117.333872,CI,Q0071
260,695.0,35.609617,-117.666721,CI,Q0072
261,643.0,34.08356,-118.650871,CI,Q0073
262,22.0,33.886423,-118.373202,CI,Q0074
263,315.3,34.117756,-118.577497,CI,Q0075
264,382.0,33.220004,-117.044011,CI,Q0076
265,51.0,34.231187,-119.029886,CI,Q0077
266,240.0,33.13358,-117.111,CI,Q0078
267,5.0,33.724045,-118.05381,CI,Q0079
268,176.0,34.092168,-118.401439,CI,Q0080
269,78.0,34.269756,-119.201271,CI,Q0081
270,232.0,34.136187,-118.127443,CI,Q335
271,1232.0,34.74909,-118.71518,CI,QAL
272,271.0,32.91716,-117.03032,CI,QSD01
273,7.0,32.69485,-117.14392,CI,QSD02
274,94.0,33.52641,-117.59882,CI,QSD03
275,165.0,33.2573,-116.3481,CI,QSD04
276,88.0,32.6797,-116.9854,CI,QSD05
277,15.0,33.1334,-117.3335,CI,QSD06
278,515.0,34.39558,-118.49837,CI,QUG
279,722.0,34.68289,-116.15139,CI,RAG
280,2369.0,34.03749,-116.81306,CI,RAY
281,107.0,36.30523,-119.24384,CI,RCT
282,329.9,34.08309,-117.52442,CI,RCU
283,386.3,35.113583,-120.097209,CI,RFR
284,364.0,34.00094,-118.0131,CI,RHC
285,362.0,34.00095,-118.01333,CI,RHC2
286,304.0,34.28196,-118.47925,CI,RIN
287,304.0,34.28196,-118.47925,CI,RINB
288,118.0,34.10473,-117.97956,CI,RIO
289,408.0,33.67421,-117.60947,CI,RKMO
290,1777.0,34.64384,-116.62438,CI,RMM
291,1663.0,34.21283,-116.5763,CI,RMR
292,107.0,33.74346,-118.40412,CI,RPV
293,676.2,34.87533,-116.99684,CI,RRX
294,297.0,33.9731,-117.3272,CI,RSB
295,298.0,33.97327,-117.32674,CI,RSS
296,116.0,32.97222,-114.97809,CI,RUN
297,70.0,34.05075,-118.08078,CI,RUS
298,266.0,33.99351,-117.37545,CI,RVR
299,-59.0,33.18313,-115.62257,CI,RXH
300,1807.0,34.64341,-119.35224,CI,RYS
301,14.0,33.2801,-115.98585,CI,SAL
302,11.0,33.70432,-117.88578,CI,SAN
303,825.0,34.68844,-117.82424,CI,SBB2
304,94.0,34.44076,-119.71492,CI,SBC
305,41.0,33.48046,-119.02986,CI,SBI
306,1860.0,34.2324,-117.23484,CI,SBPX
307,199.0,32.9799,-118.54697,CI,SCI
308,199.0,32.9799,-118.54697,CI,SCI2
309,413.0,33.99532,-119.63435,CI,SCZ
310,440.0,33.99543,-119.6351,CI,SCZ2
311,120.0,33.55259,-117.66171,CI,SDD
312,101.0,32.784,-117.13805,CI,SDG
313,631.0,34.56547,-120.50137,CI,SDP
314,113.0,32.73561,-116.94241,CI,SDR
315,480.0,34.43692,-119.1375,CI,SES
316,75.0,32.64933,-115.72638,CI,SGL
317,750.0,34.23869,-115.71349,CI,SHE
318,451.0,35.89953,-116.2753,CI,SHO
319,774.0,34.64279,-118.16454,CI,SHU
320,1698.0,34.34802,-116.82746,CI,SIL
321,578.0,35.35017,-119.99653,CI,SIM
322,78.0,34.293,-119.1646,CI,SIO
323,-3.0,33.48725,-117.68114,CI,SJU
324,774.0,33.77575,-117.10712,CI,SKY
325,1174.0,35.89095,-117.28332,CI,SLA
326,0.0,33.48519,-115.86643,CI,SLB
327,208.0,33.19269,-116.25399,CI,SLH
328,523.0,34.45227,-118.42267,CI,SLM
329,1567.0,33.83359,-116.79737,CI,SLR
330,74.0,34.90218,-120.44709,CI,SMB
331,466.0,33.82288,-117.35623,CI,SME
332,19.0,34.02159,-118.44675,CI,SMF
333,53.0,34.02199,-118.44629,CI,SMF2
334,165.0,34.03818,-120.35132,CI,SMI
335,599.0,35.3142,-119.99581,CI,SMM
336,341.0,35.37699,-120.61247,CI,SMR
337,43.0,34.01438,-118.45617,CI,SMS
338,683.0,34.33364,-119.01381,CI,SMT
339,-50.0,32.948999,-115.72,CI,SMTC
340,276.0,34.27091,-118.74407,CI,SMV
341,169.0,35.01108,-120.40997,CI,SMW
342,275.0,33.24787,-119.52437,CI,SNCC
343,2339.0,34.03515,-116.80778,CI,SNO
344,-63.0,32.86184,-115.43602,CI,SNR
345,52.0,33.38761,-117.58013,CI,SOC
346,10.0,33.37055,-117.5574,CI,SOF
347,409.0,34.416,-118.449,CI,SOT
348,470.0,34.05933,-118.64614,CI,SPF
349,314.0,36.1355,-118.81099,CI,SPG
350,627.0,36.20057,-118.76624,CI,SPG2
351,130.0,34.866469,-120.294393,CI,SQC
352,392.0,33.97875,-120.07886,CI,SRI
353,208.0,33.82854,-117.78938,CI,SRN
354,667.0,35.69235,-117.75051,CI,SRT
355,1574.0,34.20734,-117.50039,CI,SS2
356,337.1,34.03103,-117.45498,CI,SSS
357,-64.0,33.17747,-115.61564,CI,SSW
358,180.0,34.30302,-119.18676,CI,STC
359,49.0,33.664,-117.76856,CI,STG
360,4.0,33.79033,-118.19878,CI,STS
361,796.0,34.78904,-118.46361,CI,STT
362,1652.0,34.21048,-117.69394,CI,SUN
363,605.0,34.10647,-117.09822,CI,SVD
364,265.0,32.79184,-116.09718,CI,SWP
365,140.0,32.94508,-115.79988,CI,SWS
366,201.0,34.60723,-120.0696,CI,SYN
367,1278.0,34.52781,-119.97832,CI,SYP
368,2249.0,34.38203,-117.67822,CI,TA2
369,203.0,34.08377,-118.599,CI,TCF
370,846.0,35.2913,-118.42079,CI,TEH
371,650.0,35.23107,-118.68878,CI,TEJ
372,90.0,35.33141,-119.36455,CI,TER
373,233.0,35.14592,-119.41946,CI,TFT
374,1688.0,34.90853,-118.66443,CI,THC
375,60.0,33.65066,-116.07734,CI,THM
376,-31.0,33.63495,-116.16402,CI,THX
377,1197.0,37.05422,-118.23009,CI,TIN
378,398.0,35.02722,-118.74373,CI,TJR
379,989.0,35.08687,-119.53541,CI,TM2
